,text,latitude,longitude,categoriaRotulo,Bairro
0,"Roubaram todos equipamentos do nerckie, um cara que me fez gostar de matemática e ajuda um mundo de gente passar no vestibular...",-23.59825441,-46.78719865,Roubo,RAPOSO TAVARES
1,"@nathpedretti me roubaram na balada. eu chorei tanto, mas tanto..até fiquei doente. pq foi caro e meu pai não ia me dar outro",-23.64558799,-46.75684932,Roubo,CAMPO LIMPO
2,"@viiickyoli kkkkk me roubaram na maior, justo no desfile da versace as 23h da noite",-23.48785634,-46.60354083,Roubo,TUCURUVI
3,@_jonassampaio eu acho que você devia me dar de presente pq roubaram meu ipod e você é rico,-23.52390108,-46.50442125,Roubo,PENHA
4,Ia escrever sobre os resultados do pará e amazonas daí mamãe liga. e agora recebo mensagem do @aluriel me matando que roubaram o carro dele.,-23.5713869,-46.7053895,Roubo,BUTANTA
5,@pmesp foram os mesmos q me roubaram mês passado. um está numa bicicleta menor e camiseta branca. outro maior camisa listrada verde e branca,-23.5253472,-46.6287574,Roubo,BOM RETIRO
6,"Roubaram minha sala hoje, ainda bem que esqueci o dinheiro em casa pensei que tinham me roubado",-23.51301889,-46.65881848,Roubo,CASA VERDE
7,@ket_selem_ fui assaltado. roubaram aquele psp que ele me deu.,-23.501662,-46.4133566,Roubo,VILA CURUCA
8,Metade da escola sabe que roubaram.meu cel e ainda vem me perguntar.. o povo la dos canto do nabuco td sabe,-23.6453832,-46.657755,Roubo,JABAQUARA
9,@camilacastaldi só porque eu cheguei em casa sem os legumes? me roubaram! juro que eu tava no mercado!! hahaahha,-23.53039278,-46.66397606,Roubo,BARRA FUNDA
10,O shopping novo e lindo mais quase me roubaram lá,-23.47871653,-46.70753578,Roubo,FREGUESIA DO O
11,@brenaldinho10 me roubaram fdp --!,-23.5492193,-46.50354551,Roubo,CIDADE LIDER
12,"Nossa,me roubaram !!!",-23.4781881,-46.607119,Roubo,TUCURUVI
13,Me roubaram na lus,-23.51930783,-46.53369744,Roubo,PENHA
14,"Ontem quase me roubaram na virada, perto de um carro da polícia!",-23.6059333,-46.7259327,Roubo,VILA SONIA
15,"Minha mae cabou de me ligar falando que ta cheio de verme no posto, roubaram la",-23.4513151,-46.7385114,Roubo,JARAGUA
16,@leeeorodrigues to xatiada me roubaram ;$$,-23.6249918,-46.706426,Roubo,SANTO AMARO
17,"Novo carro reserva, me roubaram o estepe do uno!  @ rua húngara http://t.co/qdiqhypn",-23.530694,-46.703449,Roubo,LAPA
18,Roubaram meu carro cerca de 2hrs atrás fox vermelho placa dzy 6923 na região paulista/ibirapuera. se souberem de algo 190 ou me avisem.,-23.5498679,-46.6044473,Roubo,MOOCA
19,@_camilanunes é me roubaram em 20 passos q eu dei dentro dessa droga,-23.54782176,-46.62879955,Roubo,SE
20,"Pq eu to reclamando sobre isso, pq hj me roubaram 400 conto na cara 🗿",-23.5787844,-46.54550264,Roubo,SAO LUCAS
21,"Quase me roubaram hoje, obrigada deus 🙏",-23.61794665,-46.48049259,Roubo,SAO MATEUS
22,Me roubaram levaram as minhas coisas relaxa chapa deus me dá  em dobro!,-23.6787576,-46.67683,Roubo,CAMPO GRANDE
23,@jahdica quarta eu tenho e ainda tenho q entregar trabalho! me roubaram sabado! o dia mais feliz da semana! queria star morta,-23.5433106,-46.4865367,Roubo,ARTUR ALVIM
24,"Juro que ainda to revoltada pq me roubaram , treva",-23.56462954,-46.55626807,Roubo,VILA FORMOSA
